Freq.	V(n004)
8.00000000000000e+001	(-5.67016090847712e+001dB,1.76700708128174e+002°)
8.03692632222716e+001	(-5.66213453334311e+001dB,1.76685413498577e+002°)
8.07402308861348e+001	(-5.65410791394847e+001dB,1.76670047354205e+002°)
8.11129108589344e+001	(-5.64608104802912e+001dB,1.76654609352127e+002°)
8.14873110443294e+001	(-5.63805393329994e+001dB,1.76639099147650e+002°)
8.18634393824603e+001	(-5.63002656745463e+001dB,1.76623516394304e+002°)
8.22413038501179e+001	(-5.62199894816543e+001dB,1.76607860743838e+002°)
8.26209124609118e+001	(-5.61397107308301e+001dB,1.76592131846205e+002°)
8.30022732654410e+001	(-5.60594293983619e+001dB,1.76576329349550e+002°)
8.33853943514644e+001	(-5.59791454603178e+001dB,1.76560452900202e+002°)
8.37702838440720e+001	(-5.58988588925436e+001dB,1.76544502142663e+002°)
8.41569499058579e+001	(-5.58185696706609e+001dB,1.76528476719594e+002°)
8.45454007370927e+001	(-5.57382777700648e+001dB,1.76512376271805e+002°)
8.49356445758980e+001	(-5.56579831659218e+001dB,1.76496200438245e+002°)
8.53276896984207e+001	(-5.55776858331680e+001dB,1.76479948855989e+002°)
8.57215444190086e+001	(-5.54973857465063e+001dB,1.76463621160226e+002°)
8.61172170903869e+001	(-5.54170828804050e+001dB,1.76447216984248e+002°)
8.65147161038351e+001	(-5.53367772090950e+001dB,1.76430735959439e+002°)
8.69140498893653e+001	(-5.52564687065679e+001dB,1.76414177715264e+002°)
8.73152269159006e+001	(-5.51761573465737e+001dB,1.76397541879253e+002°)
8.77182556914549e+001	(-5.50958431026185e+001dB,1.76380828076991e+002°)
8.81231447633133e+001	(-5.50155259479622e+001dB,1.76364035932110e+002°)
8.85299027182134e+001	(-5.49352058556165e+001dB,1.76347165066269e+002°)
8.89385381825274e+001	(-5.48548827983420e+001dB,1.76330215099148e+002°)
8.93490598224450e+001	(-5.47745567486466e+001dB,1.76313185648432e+002°)
8.97614763441572e+001	(-5.46942276787823e+001dB,1.76296076329801e+002°)
9.01757964940410e+001	(-5.46138955607437e+001dB,1.76278886756914e+002°)
9.05920290588447e+001	(-5.45335603662649e+001dB,1.76261616541400e+002°)
9.10101828658746e+001	(-5.44532220668174e+001dB,1.76244265292843e+002°)
9.14302667831819e+001	(-5.43728806336076e+001dB,1.76226832618768e+002°)
9.18522897197508e+001	(-5.42925360375742e+001dB,1.76209318124629e+002°)
9.22762606256876e+001	(-5.42121882493859e+001dB,1.76191721413799e+002°)
9.27021884924103e+001	(-5.41318372394389e+001dB,1.76174042087549e+002°)
9.31300823528395e+001	(-5.40514829778539e+001dB,1.76156279745043e+002°)
9.35599512815899e+001	(-5.39711254344743e+001dB,1.76138433983319e+002°)
9.39918043951626e+001	(-5.38907645788629e+001dB,1.76120504397276e+002°)
9.44256508521386e+001	(-5.38104003802995e+001dB,1.76102490579662e+002°)
9.48614998533730e+001	(-5.37300328077787e+001dB,1.76084392121059e+002°)
9.52993606421902e+001	(-5.36496618300064e+001dB,1.76066208609869e+002°)
9.57392425045797e+001	(-5.35692874153979e+001dB,1.76047939632300e+002°)
9.61811547693933e+001	(-5.34889095320746e+001dB,1.76029584772351e+002°)
9.66251068085427e+001	(-5.34085281478618e+001dB,1.76011143611800e+002°)
9.70711080371985e+001	(-5.33281432302853e+001dB,1.75992615730184e+002°)
9.75191679139896e+001	(-5.32477547465691e+001dB,1.75974000704791e+002°)
9.79692959412042e+001	(-5.31673626636326e+001dB,1.75955298110641e+002°)
9.84215016649908e+001	(-5.30869669480872e+001dB,1.75936507520472e+002°)
9.88757946755612e+001	(-5.30065675662341e+001dB,1.75917628504726e+002°)
9.93321846073932e+001	(-5.29261644840609e+001dB,1.75898660631532e+002°)
