time	V(n004)
0.000000000000000e+000	1.128963e-005
4.114285648678821e-008	1.131668e-005
8.228571297357643e-008	1.133400e-005
1.234285694603646e-007	1.134159e-005
1.645714259471529e-007	1.133945e-005
2.057142824339411e-007	1.132757e-005
2.468571389207293e-007	1.130597e-005
2.879999954075174e-007	1.127464e-005
1.024024567492467e-006	1.127253e-005
1.971438955112884e-006	1.148517e-005
3.413294602770103e-006	1.249641e-005
5.042995788575515e-006	1.510556e-005
6.818023728555662e-006	2.059401e-005
8.851849288176078e-006	3.152702e-005
1.128378010547954e-005	5.236467e-005
1.376311029622371e-005	8.429617e-005
1.646407381278216e-005	1.350725e-004
1.990194326951958e-005	2.284751e-004
2.443766409488361e-005	4.024247e-004
2.901842940444210e-005	6.476316e-004
3.461292926228323e-005	1.055774e-003
4.070151908089756e-005	1.649065e-003
4.820688988897732e-005	2.610597e-003
5.682716670796639e-005	4.040729e-003
6.753205740280810e-005	6.302168e-003
8.037040057465316e-005	9.651328e-003
9.443290057465316e-005	1.399704e-002
1.084954005746532e-004	1.889743e-002
1.225579005746532e-004	2.414478e-002
1.366204005746532e-004	2.948679e-002
1.506829005746532e-004	3.466447e-002
1.647454005746531e-004	3.942985e-002
1.788079005746531e-004	4.356071e-002
1.928704005746531e-004	4.687190e-002
2.069329005746531e-004	4.922310e-002
2.209954005746531e-004	5.052298e-002
2.350579005746531e-004	5.073014e-002
2.491204005746531e-004	4.985119e-002
2.631829005746531e-004	4.793640e-002
2.772454005746532e-004	4.507356e-002
2.913079005746532e-004	4.138066e-002
3.053704005746532e-004	3.699778e-002
3.194329005746532e-004	3.207899e-002
3.334954005746533e-004	2.678436e-002
3.475579005746533e-004	2.127283e-002
3.616204005746533e-004	1.569586e-002
3.756829005746533e-004	1.019234e-002
3.897454005746534e-004	4.884674e-003
4.038079005746534e-004	-1.238820e-004
4.178704005746534e-004	-4.750638e-003
4.319329005746534e-004	-8.933824e-003
4.459954005746535e-004	-1.263197e-002
4.600579005746535e-004	-1.582250e-002
4.741204005746535e-004	-1.849978e-002
4.881829005746535e-004	-2.067267e-002
5.022454005746535e-004	-2.236196e-002
5.163079005746535e-004	-2.359766e-002
5.303704005746535e-004	-2.441644e-002
5.444329005746535e-004	-2.485917e-002
5.584954005746534e-004	-2.496883e-002
5.725579005746534e-004	-2.478871e-002
5.866204005746534e-004	-2.436093e-002
6.006829005746533e-004	-2.372538e-002
6.147454005746533e-004	-2.291899e-002
6.288079005746533e-004	-2.197527e-002
6.428704005746532e-004	-2.092419e-002
6.569329005746532e-004	-1.979221e-002
6.709954005746532e-004	-1.860250e-002
6.850579005746531e-004	-1.737530e-002
6.991204005746531e-004	-1.612831e-002
7.131829005746531e-004	-1.487709e-002
7.272454005746530e-004	-1.363547e-002
7.413079005746530e-004	-1.241590e-002
