time	V(n004)
0.000000000000000e+000	1.128963e-005
1.000000000000000e-009	1.584829e-003
3.628245664486527e-009	1.568488e-003
6.256491328973053e-009	1.541831e-003
8.884736993459579e-009	1.504856e-003
1.151298265794611e-008	1.457565e-003
1.414122832243263e-008	1.399956e-003
1.676947398691916e-008	1.332030e-003
1.939771965140568e-008	1.253788e-003
2.665830999469812e-008	1.026481e-003
3.620261448772074e-008	7.031465e-004
4.774209320228853e-008	3.207270e-004
6.011731554171914e-008	-3.558293e-005
7.457896727138404e-008	-3.498828e-004
8.910520711170217e-008	-5.438657e-004
1.053420232385675e-007	-6.290010e-004
1.222531671867830e-007	-6.090746e-004
1.400907218133314e-007	-5.133358e-004
1.590660779142385e-007	-3.764364e-004
1.731931742985169e-007	-2.728990e-004
1.867129808687966e-007	-1.858422e-004
2.021944394728314e-007	-1.065126e-004
2.173203689883331e-007	-5.119087e-005
2.345869080853844e-007	-1.262060e-005
2.526637948374548e-007	5.919684e-006
2.745409094444060e-007	8.541420e-006
3.000608294543195e-007	-1.324495e-006
3.364044580727843e-007	-1.944636e-005
3.798633321230918e-007	-3.351213e-005
4.285704296287131e-007	-3.756806e-005
4.816034212836938e-007	-3.447007e-005
6.646434121031253e-007	-1.993282e-005
1.102242030452329e-006	2.939431e-005
1.629117321303693e-006	1.302324e-004
2.608539814749800e-006	4.031711e-004
3.523803738875647e-006	7.643176e-004
4.718531935859826e-006	1.398316e-003
5.949249973022794e-006	2.240070e-003
7.600770059338312e-006	3.663900e-003
9.491284799888033e-006	5.685806e-003
1.193269104988803e-005	8.864119e-003
1.437409729988803e-005	1.263223e-002
1.681550354988803e-005	1.699131e-002
1.925690979988803e-005	2.190406e-002
2.169831604988803e-005	2.733308e-002
2.413972229988803e-005	3.324102e-002
2.658112854988803e-005	3.959057e-002
2.902253479988803e-005	4.634460e-002
3.146394104988803e-005	5.346617e-002
3.390534729988803e-005	6.091867e-002
3.634675354988803e-005	6.866582e-002
3.878815979988803e-005	7.667178e-002
4.122956604988803e-005	8.490119e-002
4.367097229988804e-005	9.331921e-002
4.611237854988804e-005	1.018916e-001
4.855378479988804e-005	1.105849e-001
5.099519104988804e-005	1.193660e-001
5.343659729988805e-005	1.282029e-001
5.587800354988805e-005	1.370642e-001
5.831940979988805e-005	1.459195e-001
6.076081604988805e-005	1.547389e-001
6.320222229988805e-005	1.634939e-001
6.808503479988805e-005	1.806998e-001
7.296784729988806e-005	1.973265e-001
7.785065979988806e-005	2.131792e-001
8.517487854988807e-005	2.351235e-001
